house,year,season,homebase,parent,director,director_years,director_previous_houses,newyork,paris,london,milan,met,employees_num,google_search_sentiment,fashion_magazine_sentiment
Prada,2018,ss,Milan,Prada,Miuccia Prada,42,0,0,0,0,1,1,9752,0.19125,0.3143939394
Miu Miu,2024,fw,Milan,Prada,Miuccia Prada & Raf Simons,25,4,0,1,0,0,1,,,0.25
Miu Miu,2024,ss,Milan,Prada,Miuccia Prada & Raf Simons,25,4,0,1,0,0,1,,,0.3
Miu Miu,2023,fw,Milan,Prada,Miuccia Prada & Raf Simons,25,4,0,1,0,0,1,,,0.25
Miu Miu,2023,ss,Milan,Prada,Miuccia Prada & Raf Simons,25,4,0,1,0,0,1,,,0.05
Miu Miu,2022,fw,Milan,Prada,Miuccia Prada & Raf Simons,25,4,0,1,0,0,1,,,0.25
Miu Miu,2022,ss,Milan,Prada,Miuccia Prada & Raf Simons,25,1,0,1,0,0,1,,,0.3
Miu Miu,2021,fw,Milan,Prada,Miuccia Prada & Raf Simons,25,1,0,1,0,0,1,,,0
Miu Miu,2021,ss,Milan,Prada,Miuccia Prada & Raf Simons,25,1,0,1,0,0,1,,,175
Miu Miu,2020,fw,Milan,Prada,Miuccia Prada & Raf Simons,25,1,0,1,0,0,1,,,0.1988636364
Miu Miu,2020,ss,Milan,Prada,Miuccia Prada,42,1,0,1,0,0,1,,,0.175
Miu Miu,2019,fw,Milan,Prada,Miuccia Prada,42,1,0,1,0,0,1,,,0
Miu Miu,2019,ss,Milan,Prada,Miuccia Prada,42,1,0,1,0,0,1,,,175
Miu Miu,2018,fw,Milan,Prada,Miuccia Prada,42,1,0,1,0,0,1,,,0.1988636364
Miu Miu,2018,ss,Milan,Prada,Miuccia Prada,42,1,0,1,0,0,1,,,0.25
Louis Vuitton,2024,fw,Paris,LVMH,Pharrell Williams,0,0,0,1,0,0,1,9336,0.089318,-0.2
Louis Vuitton,2024,ss,Paris,LVMH,Pharrell Williams,0,0,0,1,0,0,1,9336,0.089318,0.05
Louis Vuitton,2023,fw,Paris,LVMH,Pharrell Williams,0,0,0,1,0,0,1,9201,0.089318,0
Louis Vuitton,2023,ss,Paris,LVMH,Pharrell Williams,0,0,0,1,0,0,1,9201,0.089318,0.05
Louis Vuitton,2022,fw,Paris,LVMH,Virgil Abloh,9,1,0,1,0,0,1,9293,0.089318,0.25
Louis Vuitton,2022,ss,Paris,LVMH,Virgil Abloh,9,1,0,1,0,0,1,9293,0.089318,0.05
Louis Vuitton,2021,fw,Paris,LVMH,Virgil Abloh,9,1,0,1,0,0,1,9234,0.089318,0.25
Louis Vuitton,2021,ss,Paris,LVMH,Virgil Abloh,9,1,0,1,0,0,1,9234,0.089318,0.05
Louis Vuitton,2020,fw,Paris,LVMH,Virgil Abloh,9,1,0,1,0,0,1,9892,0.089318,0.25
Louis Vuitton,2020,ss,Paris,LVMH,Virgil Abloh,9,1,0,1,0,0,1,9892,0.089318,0
